,Id,Age,Sex,AvgTime,NumRaces,YrsSinceLast,Y1
0,4,0.296296296296,1,0.27014324082363472,0.0,0.0,1
1,5,0.358024691358,0,0.84229521038495969,0.583333333333,0.0769230769231,1
2,7,0.358024691358,1,0.30174574753804834,0.0,0.0769230769231,1
3,9,0.481481481481,1,0.60744553864518058,0.166666666667,0.0,1
4,11,0.358024691358,0,0.74431512981199643,0.0833333333333,0.0,1
5,15,0.358024691358,1,0.73210608773500452,0.25,0.0,1
6,16,0.41975308642,1,0.61437779767233658,0.333333333333,0.0,1
7,18,0.481481481481,1,0.28974932855863922,0.0,0.0,1
8,22,0.41975308642,0,0.33536257833482541,0.0,0.307692307692,1
9,23,0.172839506173,0,0.29829901521933749,0.0,0.0,1
10,31,0.41975308642,1,0.23133393017009848,0.0,0.0,1
11,32,0.296296296296,1,0.34422560429722471,0.0,0.307692307692,1
12,37,0.41975308642,1,0.42215756490599821,0.0,0.0,1
13,41,0.296296296296,0,0.46472694717994628,0.0,0.0769230769231,1
14,45,0.41975308642,1,0.6441808415398389,0.0833333333333,0.0,1
15,46,0.358024691358,1,0.43804834377797675,0.0,0.0769230769231,1
16,50,0.296296296296,1,0.24140555058191585,0.0,0.0,1
17,51,0.543209876543,1,0.5207251566696508,0.0,0.0,1
18,53,0.481481481481,1,0.68178155774395699,0.0,0.0769230769231,1
19,55,0.358024691358,1,0.099910474485228287,0.0,0.307692307692,1
20,57,0.296296296296,1,0.32582811101163833,0.0,0.230769230769,1
21,63,0.358024691358,0,0.6721463742166518,0.25,0.230769230769,1
22,64,0.41975308642,1,0.27197851387645477,0.0,0.0769230769231,1
23,66,0.358024691358,0,0.53419874664279321,0.25,0.0,1
24,67,0.41975308642,1,0.61521933751119073,0.0833333333333,0.0,1
25,68,0.41975308642,1,0.5957833482542525,0.333333333333,0.230769230769,1
26,70,0.543209876543,1,0.56536854670247683,0.166666666667,0.0,1
27,74,0.41975308642,0,0.58730975828111009,0.0833333333333,0.0,1
